('reasonably', 0.5359918475151062)
('excellent', 0.4773356318473816)
('nice', 0.4749380350112915)
('well-designed', 0.47191011905670166)
('well-made', 0.46921661496162415)
('great', 0.4651916027069092)
('decently', 0.45820486545562744)
('superbly', 0.45228826999664307)
('perfect', 0.42194604873657227)
('fairly', 0.41888564825057983)
('fantastic', 0.41524484753608704)
('reasonable', 0.4151417016983032)
('similarly', 0.4132257103919983)
('high-quality', 0.4121783375740051)
('well-constructed', 0.409415602684021)
('nicely', 0.40660491585731506)
('well-built', 0.4048251211643219)
('wonderful', 0.401073157787323)
('compact', 0.40056174993515015)
('relatively', 0.40040916204452515)
